trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
0,05:28:08,05:28:28,21,0,0.0
0,05:30:58,05:31:18,20,1,1202.405
0,05:33:28,05:33:48,19,2,2480.75
0,05:35:33,05:35:53,18,3,3314.936
0,05:37:53,05:38:13,17,4,4300.216
0,05:40:23,05:40:43,16,5,5571.618
0,05:43:03,05:43:23,15,6,7050.805
0,05:45:03,05:45:23,14,7,7784.659
0,05:47:23,05:47:43,13,8,9026.197
0,05:49:58,05:50:18,12,9,10235.563
0,05:52:53,05:53:13,11,10,11759.314
0,05:55:08,05:55:28,10,11,12810.503
0,05:57:23,05:57:43,9,12,13746.182
0,05:59:48,06:00:08,8,13,14897.064
0,06:03:33,06:03:53,7,14,17251.309
0,06:06:23,06:06:43,6,15,18996.408
0,06:08:48,06:09:08,5,16,20063.098
0,06:11:18,06:11:38,4,17,21000.166
0,06:13:48,06:14:08,3,18,22392.42
0,06:16:03,06:16:23,2,19,23489.09
0,06:18:18,06:18:38,1,20,24382.402
430,06:17:38,06:17:58,232,21,25599.926
430,06:20:08,06:20:28,231,22,26865.381
430,06:22:28,06:22:48,230,23,28106.078
430,06:24:50,06:25:10,229,24,29175.811
430,06:27:26,06:27:46,228,25,30487.852
430,06:29:11,06:29:31,227,26,31291.16
430,06:32:04,06:32:24,226,27,32779.359
430,06:34:17,06:34:37,225,28,33697.449
1000,18:26:21,18:26:41,71,0,0.0
1000,18:28:41,18:29:01,70,1,1486.327
1000,18:31:21,18:31:41,69,2,2865.382
1000,18:33:48,18:34:08,68,3,4168.627
1000,18:35:54,18:36:14,67,4,5082.687
1000,18:39:30,18:39:50,66,5,7563.971
1000,18:43:04,18:43:24,65,6,10300.718
1000,18:45:31,18:45:51,64,7,11635.428
1000,18:48:22,18:48:42,63,8,13219.269
1000,18:51:00,18:51:20,62,9,14527.313
1000,18:54:10,18:54:30,61,10,16123.336
1000,18:57:37,18:57:57,60,11,17199.961
1000,19:00:43,19:01:03,59,12,18920.693
1000,19:03:47,19:04:07,58,13,20682.072
1000,19:06:07,19:06:27,57,14,21619.586
1000,19:08:20,19:08:40,56,15,22412.102
1000,19:10:48,19:11:08,55,16,23795.77
1000,19:13:16,19:13:36,54,17,24938.787
1000,19:15:47,19:16:07,53,18,26520.295
1000,19:17:39,19:17:59,52,19,27050.852
1000,19:19:48,19:20:08,51,20,27879.332
1000,19:22:21,19:22:41,50,21,29103.625
1000,19:25:11,19:25:31,49,22,30341.805
1000,19:27:16,19:27:36,48,23,31083.941
1000,19:29:48,19:30:08,47,24,31910.654
1000,19:32:24,19:32:44,8,25,33227.133
1000,19:34:54,19:35:14,46,26,34316.684
1000,19:37:15,19:37:35,45,27,35599.844
1000,19:39:47,19:40:07,44,28,36773.438
1000,19:42:03,19:42:23,43,29,37419.617
1000,19:44:27,19:44:47,42,30,38786.25
1000,19:47:00,19:47:20,41,31,40208.426
1000,19:49:35,19:49:55,40,32,43229.086
1000,19:52:08,19:52:28,39,33,50477.105
1000,19:54:34,19:54:54,38,34,51988.207
1000,19:57:50,19:58:10,37,35,54766.363
1000,20:00:21,20:00:41,36,36,55877.969
1420,05:20:25,05:20:45,62,0,0.0
1420,05:23:35,05:23:55,61,1,1595.12
1420,05:27:02,05:27:22,60,2,2671.745
1420,05:30:08,05:30:28,59,3,4392.477
1420,05:33:12,05:33:32,58,4,6153.852
1420,05:35:32,05:35:52,57,5,7091.366
1420,05:37:45,05:38:05,56,6,7883.882
1420,05:40:13,05:40:33,55,7,9267.55
1420,05:42:41,05:43:01,54,8,10410.565
1420,05:45:12,05:45:32,53,9,11992.072
1420,05:47:04,05:47:24,52,10,12522.628
1420,05:49:13,05:49:33,51,11,13351.107
1420,05:51:46,05:52:06,50,12,14575.399
1420,05:54:36,05:54:56,49,13,15813.575
1420,05:56:41,05:57:01,48,14,16555.711
1420,05:59:13,05:59:33,47,15,17382.424
1420,06:01:49,06:02:09,8,16,18698.9
1420,06:04:19,06:04:39,46,17,19788.449
1420,06:06:40,06:07:00,45,18,21071.607
1420,06:09:12,06:09:32,44,19,22245.199
3112,06:00:00,06:00:20,121,0,0.0
3112,06:03:22,06:03:42,120,1,1715.498
3112,06:05:30,06:05:50,119,2,2668.887
3112,06:07:50,06:08:10,118,3,3755.067
3112,06:09:57,06:10:17,117,4,4745.277
3112,06:12:17,06:12:37,116,5,5813.003
3112,06:14:17,06:14:37,115,6,6694.112
3112,06:16:21,06:16:41,114,7,7634.336
3112,06:19:06,06:19:26,113,8,9183.857
3112,06:22:21,06:22:41,112,9,10528.73
3112,06:24:36,06:24:56,111,10,11692.103
3112,06:26:56,06:27:16,110,11,12744.2
3112,06:29:01,06:29:21,109,12,13535.843
3112,06:31:38,06:31:58,108,13,15101.026
3112,06:33:43,06:34:03,107,14,16027.171
3112,06:35:57,06:36:17,106,15,17060.197
3112,06:37:58,06:38:18,105,16,17788.221
3112,06:40:00,06:40:20,104,17,18853.855
3112,06:42:14,06:42:34,103,18,19991.02
3112,06:44:19,06:44:39,102,19,20963.088
3112,06:46:39,06:46:59,101,20,21994.688
3112,06:48:58,06:49:18,100,21,22747.76
3112,06:51:24,06:51:44,99,22,23627.391
3112,06:54:01,06:54:21,98,23,24918.307
3112,06:56:13,06:56:33,97,24,27357.568
3112,06:58:31,06:58:51,96,25,27725.34
3112,07:00:49,07:01:09,95,26,28870.445
3112,07:03:02,07:03:22,94,27,29712.666
3112,07:05:38,07:05:58,50,28,31205.994
3112,07:08:28,07:08:48,93,29,31817.354
3112,07:10:43,07:11:03,92,30,32854.266
3112,07:13:03,07:13:23,91,31,33744.758
3112,07:15:13,07:15:33,90,32,34532.684
3112,07:18:27,07:18:47,89,33,36378.66
3112,07:21:52,07:22:12,88,34,37926.129
3112,07:24:48,07:25:08,87,35,39765.781
3112,07:27:05,07:27:25,86,36,40936.219
3112,07:29:16,07:29:36,85,37,41959.457
3112,07:31:37,07:31:57,84,38,43193.652
3112,07:33:40,07:34:00,83,39,44165.301
3112,07:35:57,07:36:17,82,40,45313.719
3112,07:38:07,07:38:27,81,41,46429.664
3112,07:40:41,07:41:01,80,42,47904.379
3112,07:42:59,07:43:19,79,43,49168.691
3112,07:45:18,07:45:38,233,44,50102.746
3112,07:47:40,07:48:00,234,45,51292.508
3112,07:50:17,07:50:37,235,46,52641.617
3112,07:52:29,07:52:49,236,47,53924.801
3112,07:54:52,07:55:12,237,48,54806.066
3112,07:57:22,07:57:42,238,49,56073.137
3611,07:18:27,07:18:47,89,33,36386.496
3611,07:21:37,07:21:57,78,34,37558.832
3611,07:23:57,07:24:17,77,35,38936.508
3611,07:26:02,07:26:22,76,36,39811.207
3611,07:28:27,07:28:47,75,37,41007.938
3611,07:30:40,07:31:00,74,38,42156.227
3611,07:32:56,07:33:16,73,39,42810.051
3611,07:35:51,07:36:11,72,40,44628.379
4119,06:00:00,06:00:20,100,0,0.0
4119,06:02:00,06:02:20,35,1,1138.856
4119,06:05:25,06:05:45,34,2,3129.73
4119,06:07:50,06:08:10,33,3,4038.284
4119,06:10:30,06:10:50,32,4,5804.543
4119,06:12:40,06:13:00,31,5,6887.09
4119,06:15:00,06:15:20,30,6,7385.682
4119,06:16:40,06:17:00,29,7,8378.771
4119,06:18:55,06:19:15,28,8,9320.195
4119,06:21:10,06:21:30,27,9,10694.65
4119,06:23:05,06:23:25,26,10,11157.398
4119,06:25:10,06:25:30,25,11,12067.981
4119,06:27:20,06:27:40,24,12,12898.712
4119,06:29:49,06:30:09,23,13,14100.081
4119,06:32:09,06:32:29,22,14,15629.0
4119,06:34:39,06:34:59,196,15,19389.082
4119,06:37:39,06:37:59,197,16,19792.729
4119,06:40:43,06:41:03,198,17,21400.969
4119,06:43:20,06:43:40,199,18,22689.557
4119,06:45:57,06:46:17,200,19,23959.01
4119,06:48:54,06:49:14,201,20,25502.547
4119,06:52:13,06:52:33,202,21,27284.018
4440,06:00:00,06:00:20,13,0,0.0
4440,06:02:50,06:03:10,34,1,1609.765
4440,06:05:15,06:05:35,33,2,2518.318
4440,06:07:55,06:08:15,32,3,4284.578
4440,06:10:05,06:10:25,31,4,5367.125
4440,06:12:25,06:12:45,30,5,5865.716
4440,06:14:05,06:14:25,29,6,6858.806
4440,06:16:20,06:16:40,28,7,7800.229
4440,06:18:35,06:18:55,27,8,9174.685
4440,06:20:30,06:20:50,26,9,9637.433
4440,06:22:35,06:22:55,25,10,10548.016
4440,06:24:45,06:25:05,24,11,11378.746
4440,06:27:14,06:27:34,23,12,12580.115
4440,06:29:34,06:29:54,22,13,14109.034
4440,06:32:04,06:32:24,196,14,17869.117
4440,06:35:04,06:35:24,197,15,18272.764
4440,06:38:08,06:38:28,198,16,19881.004
4440,06:40:45,06:41:05,199,17,21169.592
4440,06:43:22,06:43:42,200,18,22439.045
4440,06:46:19,06:46:39,201,19,23982.582
4440,06:49:38,06:49:58,202,20,25764.053
4761,06:03:00,06:03:20,8,0,0.0
4761,06:06:09,06:06:29,160,1,1566.138
4761,06:08:02,06:08:22,159,2,2427.68
4761,06:10:41,06:11:01,158,3,3546.894
4761,06:12:59,06:13:19,122,4,4930.995
4761,06:15:04,06:15:24,92,5,5740.811
4761,06:18:43,06:19:03,123,6,7251.771
4761,06:20:26,06:20:46,52,7,8729.656
4761,06:24:18,06:24:38,124,8,11003.411
4761,06:27:15,06:27:35,125,9,12396.869
4761,06:29:42,06:30:02,126,10,13459.947
4761,06:32:39,06:32:59,127,11,14943.316
4761,06:34:59,06:35:19,128,12,15674.398
4761,06:37:40,06:38:00,129,13,16889.789
4761,06:40:19,06:40:39,130,14,18115.332
4761,06:42:38,06:42:58,131,15,18965.473
4761,06:44:56,06:45:16,132,16,19748.596
4761,06:48:11,06:48:31,133,17,21210.395
4761,06:50:53,06:51:13,134,18,22335.684
4761,06:53:35,06:53:55,135,19,23427.25
4761,06:56:10,06:56:30,136,20,24599.238
4761,06:59:42,07:00:02,137,21,26644.961
4761,07:02:27,07:02:47,138,22,27679.309
5121,07:02:35,07:02:55,139,23,29420.859
5121,07:05:42,07:06:02,140,24,31150.52
5121,07:07:57,07:08:17,141,25,32713.33
5121,07:10:13,07:10:33,142,26,33631.051
5121,07:12:50,07:13:10,143,27,35665.539
5121,07:15:22,07:15:42,144,28,36842.609
5121,07:17:50,07:18:10,145,29,38136.977
5121,07:20:27,07:20:47,146,30,40026.934
5121,07:23:17,07:23:37,147,31,42415.52
5121,07:25:37,07:25:57,219,32,44154.949
5121,07:31:57,07:32:17,220,33,46390.578
5487,06:00:00,06:00:20,173,0,0.0
5487,06:03:57,06:04:17,41,1,1894.641
5487,06:06:57,06:07:17,174,2,3419.708
5487,06:09:44,06:10:04,16,3,4845.347
5487,06:12:26,06:12:46,175,4,6023.615
5487,06:16:17,06:16:37,176,5,7865.942
5487,06:19:27,06:19:47,177,6,9920.682
5487,06:21:42,06:22:02,103,7,11014.888
5487,06:24:55,06:25:15,178,8,12507.14
5487,06:28:13,06:28:33,179,9,14092.854
5487,06:31:32,06:31:52,180,10,15974.529
5487,06:36:57,06:37:17,181,11,19768.496
5487,06:39:36,06:39:56,203,12,21117.186
5487,06:42:31,06:42:51,204,13,22752.91
5487,06:45:04,06:45:24,205,14,22752.91
5487,06:47:27,06:47:47,56,15,24939.682
5487,06:50:02,06:50:22,206,16,26244.281
5487,06:53:12,06:53:32,127,17,27517.322
5487,06:56:27,06:56:47,221,18,29278.17
5487,06:59:47,07:00:07,222,19,30635.004
5487,07:03:01,07:03:21,223,20,32125.428
5487,07:08:17,07:08:37,87,21,36131.703
5487,07:10:16,07:10:36,224,22,36893.914
5487,07:12:45,07:13:05,207,23,38486.508
5487,07:15:18,07:15:38,208,24,39503.871
5487,07:17:48,07:18:08,209,25,40410.832
5487,07:20:51,07:21:11,210,26,41763.828
5487,07:25:21,07:25:41,74,27,43890.664
5487,07:27:34,07:27:54,75,28,44944.902
5487,07:30:24,07:30:44,211,29,45983.441
5487,07:32:41,07:33:01,212,30,47038.566
5487,07:34:49,07:35:09,213,31,47966.957
5487,07:37:41,07:38:01,5,32,49149.031
5487,07:41:16,07:41:36,214,33,51119.898
5487,07:44:06,07:44:26,215,34,52238.648
5487,07:46:36,07:46:56,216,35,53553.586
5487,07:49:20,07:49:40,217,36,54835.777
5487,07:51:36,07:51:56,218,37,55790.984
6028,05:40:00,05:40:20,108,0,0.0
6028,05:42:55,05:43:15,195,1,1695.143
6028,05:45:56,05:46:16,194,2,3271.035
6028,05:48:29,05:48:49,193,3,4765.819
6028,05:52:23,05:52:43,192,4,7851.884
6028,05:55:37,05:55:57,191,5,9942.766
6028,05:59:02,05:59:22,190,6,12022.11
6028,06:02:10,06:02:30,189,7,14092.587
6028,06:05:02,06:05:22,188,8,15421.022
6028,06:07:42,06:08:02,187,9,16765.775
6028,06:09:50,06:10:10,186,10,17779.268
6028,06:12:04,06:12:24,59,11,19052.762
6028,06:14:53,06:15:13,185,12,20466.66
6028,06:16:57,06:17:17,184,13,21381.131
6028,06:19:02,06:19:22,183,14,22207.088
6028,06:21:41,06:22:01,182,15,23566.123
6028,06:23:37,06:23:57,131,16,24397.234
6028,06:25:54,06:26:14,167,17,25190.414
6028,06:28:32,06:28:52,166,18,26340.633
6028,06:31:25,06:31:45,165,19,27572.074
6028,06:34:12,06:34:32,164,20,28516.148
6028,06:37:33,06:37:53,163,21,30351.643
6028,06:41:05,06:41:25,162,22,32355.707
6028,06:44:00,06:44:20,161,23,33941.238
6028,06:47:52,06:48:12,81,24,35944.73
6564,06:00:00,06:00:20,113,0,0.0
6564,06:02:36,06:02:56,239,1,1654.505
6564,06:07:00,06:07:20,240,2,4084.604
6564,06:09:20,06:09:40,241,3,5174.734
6792,04:49:21,04:49:41,154,1,3114.793
6792,04:55:46,04:56:06,155,2,6400.838
6792,05:02:49,05:03:09,156,3,13339.684
6792,05:09:26,05:09:46,157,4,19857.766
6792,05:12:46,05:13:06,49,5,21991.313
7128,06:19:31,06:19:51,172,0,0.0
7128,06:22:51,06:23:11,171,1,1072.643
7128,06:26:11,06:26:31,170,2,2614.284
7128,06:29:31,06:29:51,169,3,3884.568
7128,06:32:51,06:33:11,168,4,5422.354
7128,06:35:11,06:35:31,68,5,6433.368
7128,06:37:31,06:37:51,148,6,6433.368
7128,06:43:51,06:44:11,149,7,7322.645
7128,06:56:11,06:56:31,150,8,7960.64
7128,07:02:31,07:02:51,151,9,8794.88
7128,07:14:51,07:15:11,152,10,9470.446
7128,07:27:11,07:27:31,153,11,10425.216
8325,06:00:00,06:00:20,500,0,0.0
8325,06:02:20,06:02:40,501,1,1304.262
8325,06:04:40,06:05:00,502,2,2318.199
8325,06:07:00,06:07:20,503,3,3483.035
8325,06:09:20,06:09:40,504,4,4386.395
8325,06:11:40,06:12:00,505,5,6376.599
8325,06:14:00,06:14:20,506,6,7565.968
8325,06:16:20,06:16:40,507,7,9032.35
8325,06:18:40,06:19:00,508,8,10719.547
8661,06:00:00,06:00:20,508,0,0.0
8661,06:02:20,06:02:40,509,1,1071.859
8661,06:04:40,06:05:00,510,2,2445.036
8661,06:07:00,06:07:20,511,3,3668.138
8661,06:09:20,06:09:40,512,4,5369.16
8661,06:11:40,06:12:00,513,5,6878.389
8661,06:14:00,06:14:20,514,6,8499.003
8661,06:16:20,06:16:40,515,7,11484.745
8661,06:18:40,06:19:00,516,8,12542.697
8661,06:21:00,06:21:20,517,9,13667.525
8661,06:23:20,06:23:40,518,10,15184.344
8661,06:25:40,06:26:00,519,11,16446.064
8661,06:28:00,06:28:20,520,12,17323.959
9333,05:30:02,05:30:22,1,0,0.0
9333,05:32:17,05:32:37,2,1,893.313
9333,05:34:32,05:34:52,3,2,1989.983
9333,05:37:02,05:37:22,4,3,3382.236
9333,05:39:32,05:39:52,5,4,4319.305
9333,05:41:57,05:42:17,6,5,5385.995
9333,05:44:47,05:45:07,7,6,7131.094
9333,05:48:32,05:48:52,8,7,9485.339
9333,05:50:57,05:51:17,9,8,10636.222
9333,05:53:12,05:53:32,10,9,11571.9
9333,05:55:27,05:55:47,11,10,12623.089
9333,05:58:22,05:58:42,12,11,14146.841
9333,06:00:57,06:01:17,13,12,15356.206
9333,06:03:17,06:03:37,14,13,16597.744
9333,06:05:17,06:05:37,15,14,17331.598
9333,06:07:57,06:08:17,16,15,18810.783
9333,06:10:27,06:10:47,17,16,20082.182
9333,06:12:47,06:13:07,18,17,21067.463
9333,06:14:52,06:15:12,19,18,21901.648
9333,06:17:22,06:17:42,20,19,23179.994
9333,06:20:12,06:20:32,21,20,24382.398
10000,16:01:38,16:01:58,225,0,0.0
10000,16:03:51,16:04:11,226,1,918.096
10000,16:06:44,16:07:04,227,2,2406.297
10000,16:08:29,16:08:49,228,3,3209.606
10000,16:11:05,16:11:25,229,4,4521.649
10000,16:13:27,16:13:47,230,5,5591.381
10000,16:15:47,16:16:07,231,6,6832.078
10000,16:18:17,16:18:37,232,7,8097.534
10000,16:20:43,16:21:03,1,8,9315.055
10000,16:22:58,16:23:18,2,9,10208.368
10000,16:25:13,16:25:33,3,10,11305.037
